"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0440786612450921,0.0500730455901124,0.156552602754425,0.0342791557217492,0.9,0.0948683298050514,0.71885327525868,0.0381651512124749,0.624552512642403,0.0334192434243997,-0.444188122817566,0.0506955517090714,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0532240203368516,0.0285261098313834,0.100779198348801,0.018423224761836,0.8,0.126491106406735,0.541107394447432,0.042055141478923,0.627397193706474,0.0397299725639389,-0.327925415471987,0.0387234157693403,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0623693794286124,0.0750163068021095,0.233531488382968,0.033678354139209,0.6,0.154919333848297,0.679256835253355,0.0434299645183875,0.605512808322909,0.0383880184020643,-0.464787192988315,0.0564691084345041,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","pointwise conditional trial percentile bootstrap",10,10,0,0,0,0,0,200,200,,,0.2799036193544,0.0465891040729749,,,,,,,,,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.07251435766281,0.0814639160666568,0.254922848437498,0.0324489471056436,0.7,0.144913767461894,0.775965570739702,0.046706925110656,0.588616458706491,0.0352571247856457,-0.568085143976515,0.0691092205795166,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0339336830108922,0.057873807099976,0.17690645204992,0.0406615111289784,0.9,0.0948683298050514,0.804921586722489,0.0443452311164055,0.607256559766962,0.0401736097175954,-0.543648422734911,0.0696212429830732,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,0.0532240203368511,0.0285261098313834,0.1007791983488,0.0184232247618359,0.8,0.126491106406735,0.541107394447432,0.042055141478923,0.627397193706474,0.0397299725639389,-0.327925415471987,0.0387234157693403,-0.0486765404090006,0.0353001433967743,0.785358693237361,0.142951417091107,0.5,0,0.70369999858832,0.0174112175055105,1.31479138952114,0.11967180972697,7.21694525736458,1.77223546143948,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","above_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.268225781047243,0.0501007649484289,1.7639837420465,0.191638124226868,1,,1,0,0,0,10.3166458402352,3.08702685096063,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","average","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.268225781047243,0.0501007649484289,1.7639837420465,0.191638124226868,1,,1,0,0,0,10.3166458402352,3.08702685096063,,,,,,"conditional on successful intervals"
"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept",6,250,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","below_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.268225781047243,0.0501007649484289,1.7639837420465,0.191638124226868,1,,1,0,0,0,10.3166458402352,3.08702685096063,,,,,,"conditional on successful intervals"
