"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.103904084777445,0.0656008582540006,0.222547325902586,0.0459089833937948,1,0,0.623506195939634,0.0237627904996054,0.805658372146954,0.0301508937653425,-0.16300784724771,0.0315630017803015,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0784524923947496,0.0528606811824454,0.176926702616076,0.0341161600958958,0.8,0.126491106406735,0.487471752549759,0.0248583082930723,0.86252490746916,0.0470174272176128,-0.0861435724062734,0.027819324144445,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0.3,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0530009000120529,0.049216924607296,0.156875257489159,0.0303576748140283,1,0,0.627582523978184,0.0343432066343871,0.777990725847324,0.0344629773454629,-0.195776435055119,0.036918866478813,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0.1,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","pointwise conditional trial percentile bootstrap",10,10,0,0,0,0,0,200,200,,,0.234958706620663,0.0285206306928633,,,,,,,,,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.0440183088768501,0.0546462698837047,0.169745529620671,0.0394044710135382,0.9,0.0948683298050514,0.687051590500897,0.0387131960469942,0.753145763067381,0.0276051900864506,-0.235455899361435,0.0325459554805586,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.11288667591265,0.0688688432650587,0.23543504359507,0.0441796226583287,0.9,0.0948683298050514,0.706129426448296,0.030478310707978,0.78962175263709,0.0350125600961711,-0.201122453628638,0.040857720803315,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","pointwise conditional trial percentile bootstrap",10,10,0,0,0,10,10,200,200,-0.07845249239475,0.0528606811824454,0.176926702616076,0.0341161600958958,0.8,0.126491106406735,0.487471752549758,0.0248583082930723,0.86252490746916,0.0470174272176128,-0.0861435724062735,0.027819324144445,-0.0245394771666896,0.00842225908649983,0.832031212161297,0.0583777595708527,0.1,0.3,0.851628711446241,0.0173114680565707,0.309480044893411,0.0497761230752253,4.27630827298005,1.09413363566417,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","above_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.182310051010048,0.0255420642781351,1.81277708130583,0.171309573984808,1,,1,0,0,0,5.04562040770318,1.40361368055759,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","average","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.182310051010048,0.0255420642781351,1.81277708130583,0.171309573984808,1,,1,0,0,0,5.04562040770318,1.40361368055759,,,,,,"conditional on successful intervals"
"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",2,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","causal_forest","below_zero","grf pointwise asymptotic normal interval",10,0,0,0,10,10,0,0,0,,,,,,,,,,,,,0.182310051010048,0.0255420642781351,1.81277708130583,0.171309573984808,1,,1,0,0,0,5.04562040770318,1.40361368055759,,,,,,"conditional on successful intervals"
