"q","calibration","subgroup","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.1,"intercept","free_lunch_1","estimate",1,1,9.54597458221941,9.54597458221941,9.54597458221941,FALSE
0.1,"intercept","free_lunch_2","estimate",1,1,13.7439167654057,13.7439167654057,13.7439167654057,FALSE
0.1,"intercept","free_lunch_Missing","estimate",1,1,10.1383894457762,10.1383894457762,10.1383894457762,FALSE
0.1,"lasso","free_lunch_1","estimate",1,1,7.35160331180716,7.35160331180716,7.35160331180716,FALSE
0.1,"lasso","free_lunch_2","estimate",1,1,15.7761516338437,15.7761516338437,15.7761516338437,FALSE
0.1,"lasso","free_lunch_Missing","estimate",1,1,8.40777367895008,8.40777367895008,8.40777367895008,FALSE
0.1,"ridge","free_lunch_1","estimate",1,1,7.84318971743284,7.84318971743284,7.84318971743284,FALSE
0.1,"ridge","free_lunch_2","estimate",1,1,15.7795533733841,15.7795533733841,15.7795533733841,FALSE
0.1,"ridge","free_lunch_Missing","estimate",1,1,8.81267998100919,8.81267998100919,8.81267998100919,FALSE
0.2,"intercept","free_lunch_1","estimate",1,1,11.7335747187534,11.7335747187534,11.7335747187534,FALSE
0.2,"intercept","free_lunch_2","estimate",1,1,9.00714588094637,9.00714588094637,9.00714588094637,FALSE
0.2,"intercept","free_lunch_Missing","estimate",1,1,9.30121237961586,9.30121237961586,9.30121237961586,FALSE
0.2,"lasso","free_lunch_1","estimate",1,1,11.1371029283652,11.1371029283652,11.1371029283652,FALSE
0.2,"lasso","free_lunch_2","estimate",1,1,9.38343453328854,9.38343453328854,9.38343453328854,FALSE
0.2,"lasso","free_lunch_Missing","estimate",1,1,9.24892234826016,9.24892234826016,9.24892234826016,FALSE
0.2,"ridge","free_lunch_1","estimate",1,1,10.9227781679959,10.9227781679959,10.9227781679959,FALSE
0.2,"ridge","free_lunch_2","estimate",1,1,9.23872373488756,9.23872373488756,9.23872373488756,FALSE
0.2,"ridge","free_lunch_Missing","estimate",1,1,9.00748068805,9.00748068805,9.00748068805,FALSE
0.3,"intercept","free_lunch_1","estimate",1,1,6.94676070121367,6.94676070121367,6.94676070121367,FALSE
0.3,"intercept","free_lunch_2","estimate",1,1,6.83418559395647,6.83418559395647,6.83418559395647,FALSE
0.3,"intercept","free_lunch_Missing","estimate",1,1,6.38233490653093,6.38233490653093,6.38233490653093,FALSE
0.3,"lasso","free_lunch_1","estimate",1,1,7.52966523502382,7.52966523502382,7.52966523502382,FALSE
0.3,"lasso","free_lunch_2","estimate",1,1,6.9112514453254,6.9112514453254,6.9112514453254,FALSE
0.3,"lasso","free_lunch_Missing","estimate",1,1,6.45784887630595,6.45784887630595,6.45784887630595,FALSE
0.3,"ridge","free_lunch_1","estimate",1,1,7.54804940693871,7.54804940693871,7.54804940693871,FALSE
0.3,"ridge","free_lunch_2","estimate",1,1,7.01459636345835,7.01459636345835,7.01459636345835,FALSE
0.3,"ridge","free_lunch_Missing","estimate",1,1,6.52285438160974,6.52285438160974,6.52285438160974,FALSE
0.4,"intercept","free_lunch_1","estimate",1,1,10.5182341359715,10.5182341359715,10.5182341359715,FALSE
0.4,"intercept","free_lunch_2","estimate",1,1,10.8778587739631,10.8778587739631,10.8778587739631,FALSE
0.4,"intercept","free_lunch_Missing","estimate",1,1,9.95630461092876,9.95630461092876,9.95630461092876,FALSE
0.4,"lasso","free_lunch_1","estimate",1,1,9.29150617792572,9.29150617792572,9.29150617792572,FALSE
0.4,"lasso","free_lunch_2","estimate",1,1,10.6781276979494,10.6781276979494,10.6781276979494,FALSE
0.4,"lasso","free_lunch_Missing","estimate",1,1,9.3071231333329,9.3071231333329,9.3071231333329,FALSE
0.4,"ridge","free_lunch_1","estimate",1,1,9.34169621871734,9.34169621871734,9.34169621871734,FALSE
0.4,"ridge","free_lunch_2","estimate",1,1,10.7608096072531,10.7608096072531,10.7608096072531,FALSE
0.4,"ridge","free_lunch_Missing","estimate",1,1,9.37795351012346,9.37795351012346,9.37795351012346,FALSE
0.5,"intercept","free_lunch_1","estimate",1,1,12.5628132118047,12.5628132118047,12.5628132118047,FALSE
0.5,"intercept","free_lunch_2","estimate",1,1,12.3549451865442,12.3549451865442,12.3549451865442,FALSE
0.5,"intercept","free_lunch_Missing","estimate",1,1,12.8295339607323,12.8295339607323,12.8295339607323,FALSE
0.5,"lasso","free_lunch_1","estimate",1,1,12.3510660752471,12.3510660752471,12.3510660752471,FALSE
0.5,"lasso","free_lunch_2","estimate",1,1,11.6455665262722,11.6455665262722,11.6455665262722,FALSE
