"q","repetition","calibration","group","n","estimate","lower_bound","control_estimate","control_lower","control_upper","negative_transfer"
0.1,1,"intercept","pooled",284,-27.9902615744334,-35.9568170395512,19.1549007631573,12.0813748473736,194.65186348352,TRUE
0.1,1,"lasso","pooled",284,-1.06444013149445,-9.91850872475749,-6.01231885613358,-10.7838927357977,222.675341694178,TRUE
0.1,1,"ridge","pooled",284,-2.10219148031663,-3.99507719080508,10.0078280142898,16.9400040083731,193.46136043322,TRUE
0.2,1,"intercept","pooled",544,-11.8223327958706,-22.4144805113378,40.9164408531726,-27.1878431418411,87.0337227423856,TRUE
0.2,1,"lasso","pooled",544,0.284307037925296,-6.14235286815263,9.91769361675067,-18.0666433351233,80.9036415244444,FALSE
0.2,1,"ridge","pooled",544,2.81335524627046,-6.54079228283647,32.2681252952558,-5.75210634875685,75.0890505728389,FALSE
0.3,1,"intercept","pooled",843,-24.0646535215889,-41.2895094189227,10.4480956464294,-17.5211065365152,64.5062069464449,TRUE
0.3,1,"lasso","pooled",843,0.726990758448764,-5.75133030493217,4.65315946144609,-29.0538085076254,59.5514293803133,FALSE
0.3,1,"ridge","pooled",843,0.14009995819685,-4.25605804673769,7.98964391333243,-13.9803512610864,52.6585156641096,TRUE
0.4,1,"intercept","pooled",1111,-22.1112403609879,-45.7376025790299,39.846202184891,-10.5277906433242,99.1409050216837,TRUE
0.4,1,"lasso","pooled",1111,-0.347717803034775,-3.04011868924114,-5.64788060520209,-16.4524659508584,57.9755639863346,TRUE
0.4,1,"ridge","pooled",1111,0.321740685866283,-0.578462232105774,3.19507139393041,-4.71211617749631,65.7663510218903,TRUE
0.5,1,"intercept","pooled",1441,-24.912500531083,-35.6663774451004,3.35504457885666,-9.01445162971009,39.0781505090851,TRUE
0.5,1,"lasso","pooled",1441,0.0787227602775711,-1.46575916626041,-0.505729796814793,-6.34554382195474,40.5622442498845,TRUE
0.5,1,"ridge","pooled",1441,0.535337890041388,-1.19686522643869,2.78263229122462,0.859985723435694,32.0606528074153,TRUE
