"q","calibration","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.1,"intercept","profile_width_ratio_median",1,1,0.947119701412069,0.947119701412069,0.947119701412069,FALSE
0.1,"lasso","profile_width_ratio_median",1,1,1.00554355220513,1.00554355220513,1.00554355220513,FALSE
0.1,"ridge","profile_width_ratio_median",1,1,0.973575197332256,0.973575197332256,0.973575197332256,FALSE
0.2,"intercept","profile_width_ratio_median",1,1,0.988197429242751,0.988197429242751,0.988197429242751,FALSE
0.2,"lasso","profile_width_ratio_median",1,1,0.994910996858648,0.994910996858648,0.994910996858648,FALSE
0.2,"ridge","profile_width_ratio_median",1,1,0.985525640605413,0.985525640605413,0.985525640605413,FALSE
0.3,"intercept","profile_width_ratio_median",1,1,1.06231141663506,1.06231141663506,1.06231141663506,FALSE
0.3,"lasso","profile_width_ratio_median",1,1,1.03108970437894,1.03108970437894,1.03108970437894,FALSE
0.3,"ridge","profile_width_ratio_median",1,1,1.00006761595274,1.00006761595274,1.00006761595274,FALSE
0.4,"intercept","profile_width_ratio_median",1,1,1.12525344154908,1.12525344154908,1.12525344154908,FALSE
0.4,"lasso","profile_width_ratio_median",1,1,0.978912795362459,0.978912795362459,0.978912795362459,FALSE
0.4,"ridge","profile_width_ratio_median",1,1,0.976881965148426,0.976881965148426,0.976881965148426,FALSE
0.5,"intercept","profile_width_ratio_median",1,1,1.02305676559091,1.02305676559091,1.02305676559091,FALSE
0.5,"lasso","profile_width_ratio_median",1,1,0.976168139795486,0.976168139795486,0.976168139795486,FALSE
0.5,"ridge","profile_width_ratio_median",1,1,0.990592792405176,0.990592792405176,0.990592792405176,FALSE
0.1,"intercept","absolute_reference_disagreement_median",1,1,3.98042120194898,3.98042120194898,3.98042120194898,FALSE
0.1,"lasso","absolute_reference_disagreement_median",1,1,7.39206541419086,7.39206541419086,7.39206541419086,FALSE
0.1,"ridge","absolute_reference_disagreement_median",1,1,7.40729864410714,7.40729864410714,7.40729864410714,FALSE
0.2,"intercept","absolute_reference_disagreement_median",1,1,1.91006640049579,1.91006640049579,1.91006640049579,FALSE
0.2,"lasso","absolute_reference_disagreement_median",1,1,2.00908045301533,2.00908045301533,2.00908045301533,FALSE
0.2,"ridge","absolute_reference_disagreement_median",1,1,1.78478875793438,1.78478875793438,1.78478875793438,FALSE
0.3,"intercept","absolute_reference_disagreement_median",1,1,3.66960218332982,3.66960218332982,3.66960218332982,FALSE
0.3,"lasso","absolute_reference_disagreement_median",1,1,2.95361045890918,2.95361045890918,2.95361045890918,FALSE
0.3,"ridge","absolute_reference_disagreement_median",1,1,2.67338218802197,2.67338218802197,2.67338218802197,FALSE
0.4,"intercept","absolute_reference_disagreement_median",1,1,2.96475706231936,2.96475706231936,2.96475706231936,FALSE
0.4,"lasso","absolute_reference_disagreement_median",1,1,3.22157964652039,3.22157964652039,3.22157964652039,FALSE
0.4,"ridge","absolute_reference_disagreement_median",1,1,3.21297274609772,3.21297274609772,3.21297274609772,FALSE
0.5,"intercept","absolute_reference_disagreement_median",1,1,2.24243193945203,2.24243193945203,2.24243193945203,FALSE
0.5,"lasso","absolute_reference_disagreement_median",1,1,1.2826423022055,1.2826423022055,1.2826423022055,FALSE
0.5,"ridge","absolute_reference_disagreement_median",1,1,1.2711400044477,1.2711400044477,1.2711400044477,FALSE
0.1,"intercept","signed_reference_disagreement_mean",1,1,0.402512236353314,0.402512236353314,0.402512236353314,FALSE
0.1,"lasso","signed_reference_disagreement_mean",1,1,2.30607605420726,2.30607605420726,2.30607605420726,FALSE
0.1,"ridge","signed_reference_disagreement_mean",1,1,2.404537412645,2.404537412645,2.404537412645,FALSE
0.2,"intercept","signed_reference_disagreement_mean",1,1,-0.0802679032975899,-0.0802679032975899,-0.0802679032975899,FALSE
0.2,"lasso","signed_reference_disagreement_mean",1,1,0.217477850623156,0.217477850623156,0.217477850623156,FALSE
0.2,"ridge","signed_reference_disagreement_mean",1,1,0.00190704561686511,0.00190704561686511,0.00190704561686511,FALSE
0.3,"intercept","signed_reference_disagreement_mean",1,1,-3.93700124023602,-3.93700124023602,-3.93700124023602,FALSE
0.3,"lasso","signed_reference_disagreement_mean",1,1,-3.39190815925992,-3.39190815925992,-3.39190815925992,FALSE
0.3,"ridge","signed_reference_disagreement_mean",1,1,-3.32606179626164,-3.32606179626164,-3.32606179626164,FALSE
0.4,"intercept","signed_reference_disagreement_mean",1,1,0.814400836296067,0.814400836296067,0.814400836296067,FALSE
0.4,"lasso","signed_reference_disagreement_mean",1,1,0.318389275705558,0.318389275705558,0.318389275705558,FALSE
0.4,"ridge","signed_reference_disagreement_mean",1,1,0.430437304476286,0.430437304476286,0.430437304476286,FALSE
0.5,"intercept","signed_reference_disagreement_mean",1,1,2.04612009888554,2.04612009888554,2.04612009888554,FALSE
0.5,"lasso","signed_reference_disagreement_mean",1,1,1.59027521943733,1.59027521943733,1.59027521943733,FALSE
0.5,"ridge","signed_reference_disagreement_mean",1,1,1.65057343121999,1.65057343121999,1.65057343121999,FALSE
0.1,"intercept","borrowing_estimate",1,1,-27.9902615744334,-27.9902615744334,-27.9902615744334,FALSE
0.1,"lasso","borrowing_estimate",1,1,-1.06444013149445,-1.06444013149445,-1.06444013149445,FALSE
0.1,"ridge","borrowing_estimate",1,1,-2.10219148031663,-2.10219148031663,-2.10219148031663,FALSE
0.2,"intercept","borrowing_estimate",1,1,-11.8223327958706,-11.8223327958706,-11.8223327958706,FALSE
0.2,"lasso","borrowing_estimate",1,1,0.284307037925296,0.284307037925296,0.284307037925296,FALSE
0.2,"ridge","borrowing_estimate",1,1,2.81335524627046,2.81335524627046,2.81335524627046,FALSE
0.3,"intercept","borrowing_estimate",1,1,-24.0646535215889,-24.0646535215889,-24.0646535215889,FALSE
0.3,"lasso","borrowing_estimate",1,1,0.726990758448764,0.726990758448764,0.726990758448764,FALSE
0.3,"ridge","borrowing_estimate",1,1,0.14009995819685,0.14009995819685,0.14009995819685,FALSE
0.4,"intercept","borrowing_estimate",1,1,-22.1112403609879,-22.1112403609879,-22.1112403609879,FALSE
0.4,"lasso","borrowing_estimate",1,1,-0.347717803034775,-0.347717803034775,-0.347717803034775,FALSE
0.4,"ridge","borrowing_estimate",1,1,0.321740685866283,0.321740685866283,0.321740685866283,FALSE
0.5,"intercept","borrowing_estimate",1,1,-24.912500531083,-24.912500531083,-24.912500531083,FALSE
0.5,"lasso","borrowing_estimate",1,1,0.0787227602775711,0.0787227602775711,0.0787227602775711,FALSE
